Time; Temperature; Luminosity 
54.374; 25.5; 386.6667
54.553; 25.5; 393.3333
54.732; 25.5; 393.3333
54.911; 25.25; 386.6667
55.09; 25.5; 393.3333
55.269; 25.25; 393.3333
55.453; 25.5; 386.6667
55.632; 25.25; 393.3333
55.814; 25.5; 393.3333
55.993; 25.25; 386.6667
56.176; 25.5; 386.6667
56.355; 25.25; 393.3333
56.534; 25.25; 386.6667
56.713; 25.25; 393.3333
56.892; 25.25; 393.3333
57.071; 25.25; 393.3333
57.25; 25.25; 393.3333
57.429; 25.25; 393.3333
57.608; 25.25; 393.3333
57.787; 25.25; 393.3333
57.966; 25.25; 393.3333
58.145; 25.25; 386.6667
58.324; 25.25; 386.6667
58.503; 25.25; 393.3333
58.682; 25.25; 386.6667
58.861; 25.25; 393.3333
59.04; 25.25; 393.3333
59.224; 25.25; 386.6667
59.404; 25.25; 386.6667
59.583; 25.25; 393.3333
59.763; 25.25; 386.6667
59.943; 25.25; 393.3333
60.122; 25.25; 393.3333
60.302; 25.25; 386.6667
60.482; 25.25; 393.3333
60.662; 25.25; 393.3333
60.842; 25.25; 386.6667
61.022; 25.25; 393.3333
61.204; 25.25; 393.3333
61.383; 25.25; 386.6667
61.562; 25.25; 393.3333
61.742; 25.25; 393.3333
61.922; 25.25; 386.6667
62.101; 25.25; 393.3333
62.28; 25.25; 393.3333
62.46; 25.25; 393.3333
62.64; 25.25; 393.3333
62.82; 25.25; 393.3333
63.0; 25.25; 393.3333
63.185; 25.25; 386.6667
63.365; 25.25; 393.3333
63.545; 25.25; 393.3333
63.725; 25.25; 386.6667
63.904; 25.25; 393.3333
64.083; 25.25; 393.3333
64.263; 25.25; 386.6667
64.443; 25.25; 393.3333
64.623; 25.25; 393.3333
64.802; 25.25; 386.6667
64.982; 25.25; 393.3333
65.16201; 25.25; 393.3333
65.342; 25.25; 386.6667
65.522; 25.0; 386.6667
65.701; 25.25; 393.3333
65.88; 25.25; 386.6667
66.06; 25.0; 393.3333
66.24; 25.0; 393.3333
66.42; 25.0; 386.6667
66.6; 25.25; 393.3333
66.779; 25.0; 393.3333
66.968; 25.0; 393.3333
67.147; 25.0; 386.6667
67.326; 25.0; 393.3333
67.505; 25.0; 386.6667
67.684; 25.0; 386.6667
67.863; 25.0; 393.3333
68.042; 25.0; 386.6667
68.221; 25.0; 393.3333
68.4; 25.0; 393.3333
68.578; 25.0; 386.6667
68.757; 0.0; 393.3333
68.936; 25.25; 393.3333
69.115; 25.5; 386.6667
69.294; 25.5; 393.3333
69.473; 25.5; 393.3333
69.652; 25.25; 386.6667
69.831; 25.5; 393.3333
70.01; 25.5; 393.3333
70.189; 25.5; 386.6667
70.368; 25.5; 393.3333
70.547; 25.25; 386.6667
70.726; 25.5; 386.6667
70.905; 25.5; 366.6667
71.089; 25.25; 373.3333
71.268; 25.5; 346.6666
71.447; 25.25; 400.0
71.625; 25.25; 180.0
71.803; 0.0; 220.0
71.98101; 25.5; 146.6667
72.16001; 25.5; 60.0
72.338; 25.5; 80.0
72.52; 0.0; 459.9999
72.698; 0.0; 626.6666
72.877; 0.0; 666.6666
73.056; 25.75; 666.6666
73.235; 25.5; 660.0
73.413; 25.5; 660.0
73.591; 0.0; 633.3333
73.77; 25.5; 613.3333
73.949; 25.5; 633.3333
74.128; 25.5; 660.0
74.306; 25.5; 686.6666
74.485; 0.0; 766.6666
74.664; 25.5; 773.3333
74.843; 25.5; 773.3333
75.02201; 25.5; 779.9999
